Event_Name,Event_Date,Location,Organizer_Name,Contact_Email,Contact_Phone,Event_URL,Ticket_Price,ESS_Score,Revenue_Potential,Discovery_Source,Discovery_Date,Next_Action,Notes
Ultimate Business Summit,2026-07-16,Miami FL,Wealth Builders Institute,info@wealthbuilders.org,(214) 555-0147,https://eventbrite.com/e/263585,$297,90,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 90/100 | Auto-discovered
Business Breakthrough Event,2026-07-31,Miami FL,Empire Business Events,register@empirebusiness.net,(702) 555-0189,https://eventbrite.com/e/242737,$297,55,$5K-$10K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 55/100 | Auto-discovered
Annual Business Conference 2026,2026-07-10,Los Angeles CA,Wealth Builders Institute,info@wealthbuilders.org,(214) 555-0147,https://eventbrite.com/e/818402,$297,90,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 90/100 | Auto-discovered
Business Breakthrough Event,2026-04-19,Los Angeles CA,Success Dynamics LLC,events@successdynamics.com,(305) 555-0123,https://eventbrite.com/e/790440,$1497,75,$10K-$15K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 75/100 | Auto-discovered
Annual Business Conference 2026,2026-05-23,Los Angeles CA,Wealth Builders Institute,info@wealthbuilders.org,(214) 555-0147,https://eventbrite.com/e/955442,$1497,100,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 100/100 | Auto-discovered
Ultimate Business Summit,2026-04-10,New York NY,Empire Business Events,register@empirebusiness.net,(702) 555-0189,https://eventbrite.com/e/697887,$1497,90,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 90/100 | Auto-discovered
Advanced Business Training,2026-08-06,New York NY,Success Dynamics LLC,events@successdynamics.com,(305) 555-0123,https://eventbrite.com/e/312492,$297,85,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 85/100 | Auto-discovered
Business Breakthrough Event,2026-05-05,New York NY,Elite Entrepreneur Network,contact@eliteentrepreneur.co,(312) 555-0156,https://eventbrite.com/e/459712,$297,55,$5K-$10K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 55/100 | Auto-discovered
Business Mastery Workshop,2026-07-23,New York NY,Success Dynamics LLC,events@successdynamics.com,(305) 555-0123,https://eventbrite.com/e/501041,$1997,95,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 95/100 | Auto-discovered
Advanced Entrepreneur Summit Training,2026-08-27,Miami FL,Wealth Builders Institute,info@wealthbuilders.org,(214) 555-0147,https://eventbrite.com/e/764524,$997,95,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 95/100 | Auto-discovered
Entrepreneur Summit Mastery Workshop,2026-08-09,Miami FL,Empire Business Events,register@empirebusiness.net,(702) 555-0189,https://eventbrite.com/e/515039,$297,80,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 80/100 | Auto-discovered
