"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-01-01,2026-02-18,"MB - Event Planners - Pace Morby (Calender)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - ESM Ads (FB Leads) - WARM Audience Blend",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Leads Campaign - Brainstorming Call",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Sales Rep - Leads - All USA",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"9/10 Webinar - ESA",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"ESM - Traffic Camapign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"ESS ""Book A Call"" Campaign - New Copy",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Local Miami Awareness Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"ESS - Retargeting Website Visitors - Awareness",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"ESS - Website Vis. Retargeting Awareness Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"ESS ""Book A Call"" Campaign - 11/13",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"New Traffic Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Mobile Title Insurance Ads",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"FB Form Campaign - Mobile Title Insurance",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"New Podcast Studio - Awareness Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"New Podcast Studio - Awareness Campaign - Copy",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"NEW - FB Form Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"ESS - New FB Form Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"TOF - Six Figure Event System - FB Form",active,"7-day click or 1-day view",37,actions:leadgen.other,9183,1.89927,30.41216216,"Using ad set budget",0,1125.25,Ongoing,17441,64.517516,188,,5.985372,1.07792,401,2.29918,2.80611,13,86.557692
2026-01-01,2026-02-18,"BOF - Warm Traffic -> Book A Call",active,"Multiple attribution settings",88,actions:offsite_conversion.custom.1272107968054324,44071,3.735041,76.18397727,"Using ad set budget",0,6704.19,Ongoing,164607,40.728462,2173,,3.085223,1.320114,3630,2.205253,1.846884,1711,3.918288
2026-01-01,2026-02-18,"MOF - Retargeting Awareness Campaign",active,"7-day click or 1-day view",379245,reach,379245,3.217126,5.56091709,"Using ad set budget",0,2108.95,Ongoing,1220079,1.728536,513,,4.111014,0.042046,1180,0.096715,1.787246,369,5.715312
2026-01-01,2026-02-18,"TOF - Belief Shifting Content",active,"7-day click or 1-day view",140527,reach,140527,2.036043,4.24985946,"Using ad set budget",0,597.22,Ongoing,286119,2.087313,48,,12.442083,0.016776,221,0.077241,2.702353,32,18.663125
2026-01-01,2026-02-18,"Pace Morby Ad",inactive,"7-day click or 1-day view",12261,reach,12261,1.091102,2.5006117,"Using ad set budget",0,30.66,Ongoing,13378,2.291822,17,,1.803529,0.127074,26,0.194349,1.179231,12,2.555
2026-01-01,2026-02-18,"FB Form - Warm/ Cold Traffic -> ""Book a Call""",inactive,"7-day click or 1-day view",13,actions:leadgen.other,9088,1.56129,49.31923077,"Using ad set budget",0,641.15,Ongoing,14189,45.186412,155,,4.136452,1.092396,348,2.452604,1.842385,8,80.14375
2026-01-01,2026-02-18,"BOF - Warm/Cold Traffic -> ""Book a Call"" Opt-In",inactive,"Multiple attribution settings",27,actions:offsite_conversion.custom.26020366324235150,17499,2.412195,78.47592593,"Using ad set budget",0,2118.85,Ongoing,42211,50.196631,544,,3.894945,1.288764,961,2.276658,2.204839,419,5.056921
2026-01-01,2026-02-18,"NEW - Coaches/Consultants  - Pace Morby (VSL Page)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB - Event Plan. - Eng. Shop. - Pace Morby (VSL Site)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"MB* - All WARM Audiences - Value #1 - Y - E-Book Funnel",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"BIS - VSL Landing Page - COLD Audiences",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"FB Lead Form",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"ESA - Calendar Booking Page",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"ESA - Calendar Booking Page – Copy",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Awareness Campaign - Miami Local Ad",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Awareness Campaign - Miami Event 5/27",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Awareness Campaign - Miami Event 5/27",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Leads Campaign - Shah DM Leads",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"DM Campaign - Podcast Ads",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"FB Forms - Podcast Ads",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"FB Lead Form - Brainstorming Call",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
