"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-01-01,2026-02-18,"Storm Leroy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",3,actions:offsite_conversion.custom.1272107968054324,3250,1.268308,87.21333333,35,Daily,261.64,Ongoing,Average,-,-,4122,63.474042,59,,4.434576,1.431344,104,2.523047,2.515769,43,6.084651
2026-01-01,2026-02-18,"Pace Morby",active,"7-day click, 1-day view, or 1-day engaged-view",5,actions:offsite_conversion.custom.1272107968054324,6737,1.616743,100.99,25,Daily,504.95,Ongoing,Average,-,-,10892,46.359714,129,,3.914341,1.184355,260,2.387073,1.942115,88,5.738068
2026-01-01,2026-02-18,"Image - We fill rooms...",active,"7-day click or 1-day view",15,actions:leadgen.other,3757,1.60527,23.75,10,Daily,356.25,Ongoing,Average,Average,Average,6031,59.069806,68,,5.238971,1.127508,144,2.387664,2.473958,7,50.892857
2026-01-01,2026-02-18,"Storm Leroy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.custom.1272107968054324,5231,1.497993,109.7475,40,Daily,438.99,Ongoing,Average,-,-,7836,56.022205,118,,3.720254,1.50587,188,2.399183,2.335053,95,4.620947
2026-01-01,2026-02-18,"Storm Leroy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",10,actions:offsite_conversion.custom.1272107968054324,1842,4.989142,73.966,10,Daily,739.66,Ongoing,Average,-,-,9190,80.48531,173,,4.275491,1.882481,234,2.546246,3.16094,106,6.977925
2026-01-01,2026-02-18,"Alanna Testimonial",active,"7-day click or 1-day view",58731,reach,58731,2.426044,4.55296181,3,Daily,267.4,Ongoing,"Below average - Bottom 20% of ads",-,-,142484,1.876702,102,,2.621569,0.071587,134,0.094046,1.995522,73,3.663014
2026-01-01,2026-02-18,"David Testimonial",active,"7-day click or 1-day view",6880,reach,6880,1.262936,2.78488372,5,Daily,19.16,Ongoing,"Below average - Bottom 20% of ads",-,-,8689,2.205087,6,,3.193333,0.069053,11,0.126597,1.741818,6,3.193333
2026-01-01,2026-02-18,"David Testimonial",active,"7-day click or 1-day view",9505,reach,9505,3.893845,20.37769595,10,Daily,193.69,Ongoing,"Below average - Bottom 35% of ads",-,-,37011,5.233309,33,,5.869394,0.089163,289,0.780849,0.670208,31,6.248065
2026-01-01,2026-02-18,"Video #1",active,"7-day click or 1-day view",151635,reach,151635,2.517572,3.16457282,10,Daily,479.86,Ongoing,"Below average - Bottom 35% of ads",-,-,381752,1.256994,100,,4.7986,0.026195,302,0.079109,1.58894,77,6.231948
2026-01-01,2026-02-18,"Ajay Testimonial",active,"7-day click or 1-day view",68946,reach,68946,3.005628,3.05674006,3,Daily,210.75,Ongoing,"Below average - Bottom 35% of ads",-,-,207226,1.017006,83,,2.539157,0.040053,114,0.055012,1.848684,47,4.484043
2026-01-01,2026-02-18,"Video #1",not_delivering,"7-day click or 1-day view",55641,reach,55641,1.716899,3.55133804,5,Daily,197.6,Ongoing,"Below average - Bottom 35% of ads",-,-,95530,2.06846,32,,6.175,0.033497,97,0.101539,2.037113,22,8.981818
2026-01-01,2026-02-18,"AI Ad #6 - Old Copy",not_delivering,"7-day click",18,actions:offsite_conversion.custom.1272107968054324,12324,2.942957,61.56777778,20,Daily,1108.22,Ongoing,Average,-,-,36269,30.555571,443,,2.501625,1.221429,680,1.874879,1.629735,387,2.863618
2026-01-01,2026-02-18,"Image - We fill rooms...",active,"7-day click or 1-day view",15,actions:leadgen.other,3386,1.59303,23.95266667,10,Daily,359.29,Ongoing,Average,Average,"Above average",5394,66.609195,64,,5.613906,1.186504,149,2.762329,2.411342,5,71.858
2026-01-01,2026-02-18,"Video #1",active,"7-day click or 1-day view",51892,reach,51892,1.425152,2.61562476,3,Daily,135.73,Ongoing,"Below average - Bottom 35% of ads",-,-,73954,1.83533,5,,27.146,0.006761,54,0.073018,2.513519,5,27.146
2026-01-01,2026-02-18,"Video #2",inactive,"7-day click or 1-day view",509,reach,509,1,1.31630648,3,Daily,0.67,Ongoing,-,-,-,509,1.316306,,,,,0,0,0,,
2026-01-01,2026-02-18,"Video #3",inactive,"7-day click or 1-day view",5596,reach,5596,1.102931,1.40993567,3,Daily,7.89,Ongoing,-,-,-,6172,1.278354,,,,,4,0.064809,1.9725,,
2026-01-01,2026-02-18,"Peter Snelle Testimonial",active,"7-day click or 1-day view",24519,reach,24519,1.799013,3.43407154,5,Daily,84.2,Ongoing,"Below average - Bottom 20% of ads",-,-,44110,1.908864,24,,3.508333,0.054409,30,0.068012,2.806667,13,6.476923
2026-01-01,2026-02-18,"Ajay Testimonial",active,"7-day click or 1-day view",21140,reach,21140,1.616604,3.66934721,5,Daily,77.57,Ongoing,"Below average - Bottom 35% of ads",-,-,34175,2.269788,13,,5.966923,0.03804,29,0.084857,2.674828,8,9.69625
2026-01-01,2026-02-18,"Alanna Testimonial - Copy",active,"7-day click or 1-day view",1088,reach,1088,1.205882,1.91176471,5,Daily,2.08,Ongoing,"Below average - Bottom 35% of ads",-,-,1312,1.585366,1,,2.08,0.07622,1,0.07622,2.08,,
2026-01-01,2026-02-18,"Ajay Testimonial",active,"7-day click or 1-day view",89,reach,89,1.359551,26.74157303,5,Daily,2.38,Ongoing,-,-,-,121,19.669421,,,,,2,1.652893,1.19,,
2026-01-01,2026-02-18,"David Testimonial",active,"7-day click or 1-day view",15,reach,15,1.066667,20,5,Daily,0.3,Ongoing,-,-,-,16,18.75,,,,,0,0,0,,
