"Reporting starts","Reporting ends","Ad set name","Ad set delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Starts,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-01-01,2026-02-18,"All Warm Audiences - Storm Leroy",inactive,"7-day click, 1-day view, or 1-day engaged-view",3,actions:offsite_conversion.custom.1272107968054324,3250,1.268308,87.21333333,35,Daily,261.64,Ongoing,2025-12-07,4122,63.474042,59,,4.434576,1.431344,104,2.523047,2.515769,43,6.084651
2026-01-01,2026-02-18,"All Warm Audiences - Pace Morby",active,"7-day click, 1-day view, or 1-day engaged-view",5,actions:offsite_conversion.custom.1272107968054324,6737,1.616743,100.99,25,Daily,504.95,Ongoing,2025-12-07,10892,46.359714,129,,3.914341,1.184355,260,2.387073,1.942115,88,5.738068
2026-01-01,2026-02-18,"Consultants - Top 25% - ""STOP"" Video Ad",not_delivering,"7-day click or 1-day view",1,actions:leadgen.other,378,1.119048,26.2,10,Daily,26.2,Ongoing,2025-12-07,423,61.938534,6,,4.366667,1.41844,9,2.12766,2.911111,,
2026-01-01,2026-02-18,"Consultants - Top 25% - ""We fill rooms"" Image",active,"7-day click or 1-day view",15,actions:leadgen.other,3757,1.60527,23.75,10,Daily,356.25,Ongoing,2025-12-07,6031,59.069806,68,,5.238971,1.127508,144,2.387664,2.473958,7,50.892857
2026-01-01,2026-02-18,"Watched 50% Videos Past Year ​ ​- Storm Leroy",inactive,"7-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.custom.1272107968054324,5231,1.497993,109.7475,40,Daily,438.99,Ongoing,2025-12-08,7836,56.022205,118,,3.720254,1.50587,188,2.399183,2.335053,95,4.620947
2026-01-01,2026-02-18,"All GHL Leads ​ ​- Storm Leroy",inactive,"7-day click, 1-day view, or 1-day engaged-view",10,actions:offsite_conversion.custom.1272107968054324,1842,4.989142,73.966,10,Daily,739.66,Ongoing,2025-12-16,9190,80.48531,173,,4.275491,1.882481,234,2.546246,3.16094,106,6.977925
2026-01-01,2026-02-18,"Website Visitors - BS Video #1 - Copy",inactive,"7-day click or 1-day view",55641,reach,55641,1.716899,3.55133804,5,Daily,197.6,Ongoing,2025-12-18,95530,2.06846,32,,6.175,0.033497,97,0.101539,2.037113,22,8.981818
2026-01-01,2026-02-18,"Website Visitors - Alanna Testimonial - Copy",active,"7-day click or 1-day view",58731,reach,58731,2.426044,4.55296181,3,Daily,267.4,Ongoing,2025-12-18,142484,1.876702,102,,2.621569,0.071587,134,0.094046,1.995522,73,3.663014
2026-01-01,2026-02-18,"Watched 50% Ads - Ajay Testimonial - Copy",active,"7-day click or 1-day view",68946,reach,68946,3.005628,3.05674006,3,Daily,210.75,Ongoing,2025-12-18,207226,1.017006,83,,2.539157,0.040053,114,0.055012,1.848684,47,4.484043
2026-01-01,2026-02-18,"Watched 50% Ads - BS Video #1",active,"7-day click or 1-day view",151635,reach,151635,2.517572,3.16457282,10,Daily,479.86,Ongoing,2025-12-19,381752,1.256994,100,,4.7986,0.026195,302,0.079109,1.58894,77,6.231948
