month_index,revenue,gross_profit,operating_income,net_income,monthly_growth
1,36361371872.43288,17208019238.62886,12862471686.154406,9831024113.149677,0.0016515813019202241
2,36421425634.32955,17236439681.44646,12883715103.887735,9847260848.753681,0.0016515813019202241
3,36481578579.89649,17264907062.936016,12904993606.852585,9863524400.646614,0.0016515813019202241
4,36541830872.94358,17293421460.62055,12926307252.995062,9879814813.117756,0.0016515813019202241
5,36602182677.55126,17321982952.151134,12947656100.356983,9896132130.529535,0.0016515813019202241
6,36662634158.07098,17350591615.30709,12969040207.076027,9912476397.31765,0.0016515813019202241
7,36723185479.12559,17379247527.996185,12990459631.385885,9928847657.991184,0.0016515813019202241
8,36783836805.60986,17407950768.254868,13011914431.616432,9945245957.132738,0.0016515813019202241
9,36844588302.690895,17436701414.248466,13033404666.193876,9961671339.398537,0.0016515813019202241
10,36905440135.80857,17465499544.271408,13054930393.640924,9978123849.518564,0.0016515813019202241
11,36966392470.67601,17494345236.74742,13076491672.576931,9994603532.296673,0.0016515813019202241
12,37027445473.28002,17523238570.22977,13098088561.718075,10011110432.61072,0.0016515813019202241
