month_index,revenue,gross_profit,operating_income,net_income,monthly_growth
1,18270325299.045803,13154634215.312977,9500569155.503819,8221646384.570612,0.015309470499731193
2,18550034305.232037,13356024699.767065,9646017838.72066,8347515437.354417,0.015309470499731193
3,18834025508.196987,13560498365.90183,9793693264.262434,8475311478.688644,0.015309470499731193
4,19122364466.105915,13768102415.596258,9943629522.375076,8605064009.747662,0.015309470499731193
5,19415117740.78487,13978884773.365107,10095861225.208134,8736802983.353191,0.015309470499731193
6,19712352913.086224,14192894097.422081,10250423514.804836,8870558810.888802,0.015309470499731193
7,20014138598.489407,14410179790.912373,10407352071.21449,9006362369.320232,0.015309470499731193
8,20320544462.94051,14630792013.317167,10566683120.729065,9144245008.323229,0.015309470499731193
9,20631641238.934372,14854781692.032747,10728453444.245874,9284238557.520468,0.015309470499731193
10,20947500741.842876,15082200534.126871,10892700385.758297,9426375333.829294,0.015309470499731193
11,21268195886.493217,15313101038.275116,11059461860.976473,9570688148.921947,0.015309470499731193
12,21593800703.99999,15547536506.879992,11228776366.079994,9717210316.799995,0.015309470499731193
