month_index,revenue,gross_profit,operating_income,net_income,monthly_growth
1,7935667738.426454,1430562823.206137,373214469.6095316,317506050.3431069,0.004228847697470339
2,7969226468.669988,1436612455.5071387,374792736.7600025,318848735.0730333,0.004228847697470339
3,8002927113.672643,1442687670.7817674,376377678.16187865,320197097.8121882,0.004228847697470339
4,8036770273.57032,1448788577.2165217,377969322.0395527,321551162.57200795,0.004228847697470339
5,8070756551.036806,1454915283.4554052,379567696.7367741,322910953.4654695,0.004228847697470339
6,8104886551.294501,1461067898.6018598,381172830.7171535,324276494.7075199,0.004228847697470339
7,8139160882.125201,1467246532.22071,382784752.56466997,325647810.61550754,0.004228847697470339
8,8173580153.880917,1473451294.340113,384403490.98417985,327024925.60961515,0.004228847697470339
9,8208144979.494745,1479682295.453518,386029074.80192786,328407864.2132948,0.004228847697470339
10,8242855974.491784,1485939646.521634,387661532.9660606,329796651.0537043,0.004228847697470339
11,8277713757.000093,1492223458.974407,389300894.5471419,331191310.8621462,0.004228847697470339
12,8312718947.761702,1498533844.713002,390947188.7386707,332591868.47450775,0.004228847697470339
